id;date;treatment;reported_diceroll;correct_guess;age;female;education;universitydegree;sector;employed;highincome;politicalright;believeingod;believeinfreewill;generaltrust
249;07.09.2019 13:46;Trust_promise;2;1;38;0;2;0;1;1;0;5;4;11;8
250;07.09.2019 13:49;Control;2;1;72;0;4;1;3;0;1;10;6;9;8
251;07.09.2019 13:51;Trust_promise;5;1;23;1;2;0;2;1;NA;6;1;9;8
252;07.09.2019 13:57;Control;5;1;52;0;2;0;1;1;NA;8;3;5;7
253;07.09.2019 13:58;Trust_promise;3;0;38;1;4;1;2;1;NA;5;1;7;7
254;07.09.2019 14:02;Control;1;1;22;0;2;0;1;1;0;9;3;11;7
255;07.09.2019 14:04;Trust_promise;3;1;52;0;3;1;1;1;NA;8;1;8;8
256;07.09.2019 14:10;Control;3;1;25;1;3;1;1;1;0;6;2;10;4
257;07.09.2019 14:20;Control;4;1;19;1;2;0;2;1;NA;4;6;6;7
258;07.09.2019 14:20;Trust_promise;3;0;48;0;2;0;1;1;1;5;4;9;9
259;07.09.2019 14:26;Control;2;1;49;1;3;1;3;0;0;7;10;10;10
260;07.09.2019 14:29;Trust_promise;1;1;44;0;2;0;1;1;1;7;4;6;5
261;07.09.2019 14:35;Control;1;1;64;0;3;1;2;1;0;1;1;9;8
262;07.09.2019 14:37;Trust_promise;1;0;71;0;3;1;3;0;1;3;1;10;9
263;07.10.2019 01:54;Control;5;1;38;0;2;0;1;1;0;7;1;9;8
264;07.09.2019 14:43;Trust_promise;5;1;60;1;3;1;2;1;1;9;10;11;9
265;07.09.2019 14:55;Control;1;1;51;1;2;0;2;1;0;6;5;6;7
266;07.10.2019 05:30;Trust_promise;6;0;49;0;2;0;1;1;1;9;6;11;10
267;07.09.2019 14:57;Trust_promise;5;0;53;1;2;0;3;0;0;6;9;9;6
268;07.09.2019 15:09;Control;4;1;43;1;4;1;1;1;1;9;6;11;9
269;07.09.2019 15:13;Control;6;1;28;1;2;0;3;0;0;5;1;10;3
270;07.09.2019 15:14;Trust_promise;2;0;36;0;2;0;2;1;1;5;3;11;5
271;07.09.2019 15:16;Control;6;1;74;1;2;0;3;0;0;6;6;9;8
272;07.09.2019 15:21;Trust_promise;5;0;34;1;3;1;2;1;0;5;9;11;8
273;07.09.2019 15:22;Trust_promise;2;1;22;1;2;0;2;1;0;5;6;9;6
274;07.09.2019 15:26;Control;1;0;30;1;3;1;1;1;0;11;11;11;9
275;07.09.2019 15:23;Control;5;1;55;0;4;1;1;1;1;10;1;11;10
276;07.09.2019 15:30;Trust_promise;3;0;28;0;4;1;1;1;1;3;1;11;11
277;07.09.2019 15:32;Control;4;1;21;1;2;0;3;0;0;7;1;11;3
278;07.09.2019 15:36;Trust_promise;2;0;64;1;4;1;2;1;NA;6;11;9;8
279;07.09.2019 15:37;Trust_promise;3;0;34;0;3;1;1;1;0;7;1;11;8
280;07.09.2019 15:38;Control;5;1;19;0;2;0;3;0;0;6;9;6;8
281;07.09.2019 15:40;Control;6;1;18;0;2;0;1;1;NA;5;6;8;6
282;07.09.2019 15:46;Trust_promise;5;1;34;1;4;1;3;0;0;3;1;11;8
283;07.09.2019 15:48;Control;2;0;76;0;3;1;3;0;0;3;4;6;9
284;07.09.2019 15:49;Trust_promise;3;0;45;1;4;1;2;1;1;2;1;11;9
285;07.09.2019 15:56;Control;6;0;21;0;2;0;1;1;1;5;8;10;8
286;07.09.2019 16:05;Trust_promise;6;0;28;0;2;0;2;1;0;7;5;11;7
287;07.09.2019 16:26;Trust_promise;1;1;28;0;4;1;3;0;0;1;1;11;8
288;07.09.2019 16:27;Control;4;0;70;0;3;1;3;0;NA;10;4;11;6
289;07.09.2019 16:30;Control;6;0;51;0;3;1;1;1;1;8;1;11;7
290;07.09.2019 16:40;Trust_promise;2;0;63;0;1;0;3;0;0;9;9;10;8
291;07.09.2019 16:39;Control;3;1;73;0;3;1;1;1;0;6;9;11;9
292;07.09.2019 16:41;Trust_promise;4;0;44;1;3;1;1;1;NA;8;11;11;8
293;07.09.2019 16:51;Trust_promise;4;1;21;1;3;1;2;1;0;5;1;8;6
294;07.09.2019 17:06;Control;6;0;27;0;4;1;1;1;1;5;1;9;4
295;07.09.2019 17:08;Control;6;0;57;1;3;1;3;0;NA;1;11;9;8
296;07.09.2019 17:18;Trust_promise;2;0;57;0;2;0;1;1;1;3;1;11;9
297;07.09.2019 17:22;Control;3;0;20;1;2;0;1;1;NA;8;2;8;6
298;07.09.2019 17:28;Trust_promise;2;0;47;1;2;0;3;0;0;3;4;9;8
299;07.09.2019 17:32;Trust_promise;5;1;47;1;3;1;1;1;1;7;6;9;8
300;07.09.2019 17:34;Control;3;1;73;1;2;0;3;0;0;7;8;9;9
301;07.09.2019 17:35;Control;1;0;69;0;4;1;3;0;0;1;3;6;9
302;07.09.2019 17:40;Trust_promise;6;0;38;0;2;0;2;1;0;5;1;11;8
303;07.09.2019 17:45;Control;1;1;20;1;3;1;2;1;0;5;3;9;7
304;07.09.2019 17:54;Trust_promise;2;0;27;1;3;1;2;1;0;3;3;11;3
305;07.09.2019 17:55;Trust_promise;3;1;35;0;3;1;3;0;0;4;6;9;7
306;07.09.2019 18:11;Control;4;0;76;0;4;1;3;0;1;4;1;4;9
307;07.09.2019 18:13;Control;4;0;76;0;3;1;3;0;0;7;6;11;9
